14/02/2026 12:00:00 AM;Flemington-Professional-2026-02-14;VOBIS Gold Prelude (QC);00:01:04.665;FLEM_1200m_Track
Perilous Fighter;3;100;17.25;00:00:08.510;300;18.43;00:00:11.070;500;18.32;00:00:11.030;700;19.25;00:00:10.540;900;19.26;00:00:10.640;1100;18.22;00:00:11.760
Jakivy;9;100;16.97;00:00:08.540;300;18.56;00:00:11.060;500;18.26;00:00:11.010;700;19;00:00:10.680;900;18.81;00:00:10.860;1100;18.01;00:00:11.630
Immortal Star;2;100;17.14;00:00:08.430;300;18.42;00:00:11.080;500;18.33;00:00:11.020;700;18.79;00:00:10.770;900;18.86;00:00:10.910;1100;17.79;00:00:11.720
Tango Jewel;5;100;17.09;00:00:08.410;300;18.7;00:00:11.080;500;18.63;00:00:11.020;700;19.05;00:00:10.660;900;18.91;00:00:10.830;1100;17.9;00:00:11.940
Mystic Reign;7;100;17.63;00:00:08.330;300;18.48;00:00:11.000;500;18.52;00:00:10.990;700;18.89;00:00:10.760;900;18.74;00:00:10.970;1100;17.5;00:00:11.920
Mr Magnus;8;100;16.67;00:00:08.730;300;18.53;00:00:11.120;500;18.29;00:00:11.020;700;18.83;00:00:10.840;900;18.79;00:00:10.780;1100;18.08;00:00:11.520
Nostra Bella;10;100;16.96;00:00:08.500;300;18.63;00:00:11.080;500;18.55;00:00:11.010;700;18.78;00:00:10.830;900;18.7;00:00:11.000;1100;17.47;00:00:11.730
Umgawa;4;100;16.85;00:00:08.710;300;18.52;00:00:11.000;500;18.45;00:00:11.010;700;18.6;00:00:10.890;900;18.61;00:00:10.840;1100;18.14;00:00:12.040
Photograph;1;100;0;00:00:00.000;300;0;00:00:00.000;500;0;00:00:00.000;700;0;00:00:00.000;900;0;00:00:00.000;1100;0;00:00:00.000
Jennyanydots;6;100;0;00:00:00.000;300;0;00:00:00.000;500;0;00:00:00.000;700;0;00:00:00.000;900;0;00:00:00.000;1100;0;00:00:00.000
