2026-06-27 00:00:00;Morphettville Parks-Professional-2026-06-27;PFD Food Services Handicap
STIRRUP CUP;4;173;16.12;0:13.24;373;16.17;0:12.58;573;15.69;0:12.98;773;15.66;0:12.86;973;15.89;0:12.78;1173;16.27;0:12.60;1373;16.55;0:12.20;1573;16.96;0:12.14;1773;16.64;0:12.16;1973;16.59;0:12.38
HOT TOO GO;7;173;16.62;0:12.94;373;16.76;0:12.52;573;15.49;0:13.04;773;15.81;0:12.91;973;16.04;0:12.89;1173;16.3;0:12.57;1373;16.81;0:12.10;1573;17.13;0:11.90;1773;16.64;0:12.30;1973;15.92;0:12.78
ARISTONOUS;5;173;17.18;0:12.82;373;17.22;0:12.39;573;15.6;0:12.99;773;15.61;0:12.90;973;15.75;0:12.90;1173;16.18;0:12.62;1373;16.68;0:12.11;1573;16.77;0:11.98;1773;16.49;0:12.43;1973;15.61;0:13.06
GEETEE FORTY;11;173;16.25;0:13.75;373;16.49;0:12.56;573;15.92;0:12.89;773;15.92;0:12.90;973;16.26;0:12.74;1173;16.45;0:12.53;1373;16.68;0:12.24;1573;16.84;0:12.07;1773;16.77;0:12.16;1973;16.47;0:12.51
EIGHT ON THE DOT;8;173;16.54;0:13.16;373;16.79;0:12.42;573;15.49;0:13.01;773;15.83;0:12.89;973;16.11;0:12.73;1173;16.53;0:12.50;1373;16.91;0:12.01;1573;17.03;0:12.08;1773;16.68;0:12.37;1973;15.7;0:13.20
EAGLELOU;9;173;16.3;0:13.27;373;16.41;0:12.51;573;15.75;0:12.95;773;15.62;0:12.91;973;16.04;0:12.77;1173;16.3;0:12.59;1373;16.47;0:12.28;1573;16.81;0:12.13;1773;16.74;0:12.38;1973;15.99;0:12.76
I CATCHEM FOX;1;173;16.59;0:12.92;373;16.19;0:12.65;573;15.63;0:12.97;773;15.7;0:12.87;973;15.9;0:12.79;1173;16.16;0:12.56;1373;16.61;0:12.24;1573;16.73;0:12.17;1773;16.52;0:12.50;1973;15.57;0:12.98
EXALTED FIRE;6;173;17.19;0:12.94;373;17.27;0:12.16;573;15.58;0:13.00;773;15.63;0:12.89;973;15.64;0:12.88;1173;16.52;0:12.61;1373;16.51;0:12.26;1573;16.52;0:12.37;1773;15.96;0:12.85;1973;15.28;0:13.37
TEST THE LAW;2;173;0;0:00.00;373;0;0:00.00;573;0;0:00.00;773;0;0:00.00;973;0;0:00.00;1173;0;0:00.00;1373;0;0:00.00;1573;0;0:00.00;1773;0;0:00.00;1973;0;0:00.00
SAVOUR THE DREAM;3;173;0;0:00.00;373;0;0:00.00;573;0;0:00.00;773;0;0:00.00;973;0;0:00.00;1173;0;0:00.00;1373;0;0:00.00;1573;0;0:00.00;1773;0;0:00.00;1973;0;0:00.00
DEFICIT;10;173;0;0:00.00;373;0;0:00.00;573;0;0:00.00;773;0;0:00.00;973;0;0:00.00;1173;0;0:00.00;1373;0;0:00.00;1573;0;0:00.00;1773;0;0:00.00;1973;0;0:00.00
