2026-03-28 00:00:00;Morphettville-Professional-2026-03-28;Sportsbet Dequetteville Stakes
NEVER ORDINARY;1;50;15.43;0:05.67;250;18.83;0:11.10;450;18.77;0:10.70;650;18.51;0:11.06;850;18.32;0:11.21;1050;18.16;0:11.74
VERZAIN;5;50;16.31;0:05.69;250;19.06;0:10.88;450;19.07;0:10.69;650;18.40;0:11.26;850;18.19;0:11.30;1050;17.69;0:11.82
ALMOST AN ANGEL;2;50;15.65;0:05.91;250;18.62;0:11.18;450;18.78;0:10.77;650;18.53;0:11.08;850;18.31;0:11.19;1050;17.90;0:11.75
CELESTARIA;8;50;15.61;0:05.99;250;18.43;0:11.41;450;19.22;0:10.61;650;18.75;0:10.97;850;17.89;0:11.45;1050;17.33;0:11.82
IMAGE ARTIST;4;50;15.70;0:05.82;250;18.92;0:11.12;450;18.88;0:10.77;650;18.55;0:11.19;850;17.77;0:11.46;1050;17.35;0:11.92
SIGNED BY A KISS;12;50;15.41;0:05.89;250;18.63;0:11.34;450;19.07;0:10.86;650;18.61;0:11.07;850;18.30;0:11.31;1050;17.38;0:12.28
NOLABELL;9;50;17.79;0:06.88;250;19.71;0:10.39;450;19.38;0:10.40;650;18.33;0:11.11;850;17.71;0:11.71;1050;17.05;0:12.45
CHURCHILL ROSE;6;50;15.41;0:05.79;250;18.30;0:11.37;450;18.84;0:10.90;650;18.74;0:11.05;850;18.29;0:11.45;1050;16.75;0:12.41
BETTER REIN IT IN;7;50;16.10;0:05.68;250;18.94;0:10.98;450;18.91;0:10.80;650;18.35;0:11.31;850;17.58;0:11.65;1050;16.58;0:12.78
PURE PELT;10;50;15.72;0:05.89;250;18.84;0:11.20;450;19.58;0:10.74;650;18.42;0:11.31;850;17.74;0:11.63;1050;16.50;0:12.63
Lagunanini;3;200;0;00:00.0;400;0;00:00.0;600;0;00:00.0;800;0;00:00.0;1000;0;00:00.0;1200;0;00:00.0
Rubare;11;200;0;00:00.0;400;0;00:00.0;600;0;00:00.0;800;0;00:00.0;1000;0;00:00.0;1200;0;00:00.0
