2026-07-18 00:00:00;Flemington-Professional-2026-07-18;VRC Member Erica McKissack Trophy
KALEO;2;100;16.09;0:08.85;300;17.92;0:11.61;500;17.77;0:11.82;700;17.09;0:11.99;900;17.11;0:12.04;1100;17.49;0:11.76;1300;17.97;0:11.27;1500;17.89;0:11.40;1700;17.12;0:11.94
EMPEROR TZU;7;100;16.82;0:08.31;300;17.73;0:11.45;500;17.57;0:11.67;700;17.18;0:11.88;900;16.85;0:12.25;1100;17.58;0:11.95;1300;17.91;0:11.54;1500;17.82;0:11.55;1700;16.86;0:12.15
LUCKY LUCKY BOOM;9;100;16.77;0:08.37;300;18.1;0:11.28;500;17.63;0:11.53;700;17.6;0:11.67;900;16.85;0:12.19;1100;17.23;0:12.01;1300;17.39;0:11.67;1500;17.21;0:11.87;1700;16.52;0:12.38
DON'T DOUBT DARE;16;100;16.28;0:08.62;300;17.57;0:11.54;500;17.57;0:11.53;700;17.29;0:11.72;900;17.04;0:12.36;1100;17.5;0:12.03;1300;17.63;0:11.54;1500;17.64;0:11.56;1700;16.84;0:12.25
MR AVERY;10;100;16.37;0:08.82;300;17.72;0:11.47;500;17.6;0:11.74;700;17.07;0:11.81;900;17.0;0:12.15;1100;17.28;0:11.95;1300;17.95;0:11.47;1500;17.91;0:11.56;1700;16.85;0:12.32
ZEBRA FINCH;13;100;16.95;0:08.27;300;18.01;0:11.39;500;17.55;0:11.55;700;17.32;0:11.83;900;17.3;0:12.24;1100;17.31;0:12.00;1300;17.49;0:11.68;1500;17.57;0:11.67;1700;16.61;0:12.72
OYSTER LANE;12;100;15.63;0:08.69;300;17.86;0:11.64;500;17.57;0:11.76;700;17.06;0:11.97;900;16.95;0:12.17;1100;17.14;0:12.01;1300;17.89;0:11.37;1500;17.91;0:11.50;1700;17.07;0:12.37
WATT ON EARTH;17;100;16;0:09.07;300;18.26;0:11.47;500;18.17;0:11.70;700;17.08;0:12.10;900;17.16;0:12.22;1100;17.46;0:11.90;1300;17.83;0:11.39;1500;17.8;0:11.49;1700;16.77;0:12.20
FLYING KHAN;8;100;16.52;0:08.40;300;17.79;0:11.39;500;17.5;0:11.63;700;17.19;0:11.78;900;16.68;0:12.29;1100;17.52;0:12.02;1300;17.54;0:11.64;1500;17.29;0:11.82;1700;16.38;0:12.63
OVERPRICED;11;100;16.02;0:08.53;300;17.86;0:11.58;500;17.42;0:11.76;700;17.05;0:11.92;900;16.96;0:12.26;1100;17.54;0:12.04;1300;17.63;0:11.58;1500;17.44;0:11.69;1700;16.52;0:12.52
CHOWDOWN;6;100;15.81;0:08.65;300;17.85;0:11.63;500;17.54;0:11.85;700;17.0;0:12.04;900;17.24;0:12.28;1100;17.28;0:11.98;1300;17.67;0:11.49;1500;17.61;0:11.51;1700;16.91;0:12.53
THE MEAN FIDDLER;14;100;16.7;0:08.54;300;18.19;0:11.37;500;17.44;0:11.70;700;17.14;0:11.96;900;16.9;0:12.22;1100;17.0;0:12.04;1300;17.36;0:11.75;1500;17.15;0:11.86;1700;16.44;0:12.95
FLYING DONE;3;100;16.61;0:08.43;300;18.0;0:11.37;500;18.05;0:11.29;700;17.74;0:11.74;900;16.68;0:12.20;1100;17.07;0:11.98;1300;17.09;0:11.83;1500;16.88;0:12.35;1700;15.47;0:13.28
PRESTIGE FOREVER;1;100;16.59;0:08.50;300;18.03;0:11.43;500;17.55;0:11.66;700;17.22;0:11.93;900;16.73;0:12.38;1100;18.07;0:11.84;1300;18.15;0:11.31;1500;17.64;0:11.98;1700;15.75;0:13.79
SIRIUSLY HOT;4;100;16.76;0:08.34;300;17.91;0:11.26;500;17.61;0:11.54;700;17.35;0:11.86;900;16.79;0:12.28;1100;16.89;0:12.07;1300;17.24;0:11.81;1500;17.22;0:12.31;1700;15.38;0:14.00
CENSORI;5;100;0;0:00.00;300;0;0:00.00;500;0;0:00.00;700;0;0:00.00;900;0;0:00.00;1100;0;0:00.00;1300;0;0:00.00;1500;0;0:00.00;1700;0;0:00.00
JIMMY BEANS;15;100;0;0:00.00;300;0;0:00.00;500;0;0:00.00;700;0;0:00.00;900;0;0:00.00;1100;0;0:00.00;1300;0;0:00.00;1500;0;0:00.00;1700;0;0:00.00
