2026-06-27 00:00:00;Morphettville Parks-Professional-2026-06-27;Sportsbet Green Tick Handicap
NICISH;5;250;17.66;0:17.75;450;17.68;0:11.81;650;16.8;0:12.08;850;18.37;0:11.73;1050;17.39;0:11.64;1250;16.96;0:12.27
ANOTHERHOUSE;4;250;17.48;0:17.61;450;17.41;0:11.84;650;16.81;0:12.08;850;17.43;0:11.82;1050;17.42;0:11.69;1250;16.84;0:12.44
RICHE D'AMOUR;7;250;17.3;0:18.20;450;17.43;0:11.74;650;16.93;0:12.08;850;17.91;0:11.84;1050;17.73;0:11.64;1250;17.09;0:12.00
SPEEDTAIL;10;250;17.77;0:17.30;450;17.56;0:11.78;650;16.86;0:12.09;850;17.27;0:11.90;1050;17.5;0:11.72;1250;16.88;0:12.74
MURPH;6;250;17.45;0:17.97;450;17.69;0:11.82;650;16.9;0:12.07;850;17.62;0:11.77;1050;17.63;0:11.67;1250;17.11;0:12.24
SEE YA LATER BABY;2;250;17.48;0:17.41;450;17.47;0:11.67;650;16.75;0:12.00;850;17.08;0:11.90;1050;17.22;0:11.82;1250;16.5;0:12.87
ACT NATURAL;9;250;17.28;0:17.52;450;17.52;0:11.76;650;16.83;0:12.05;850;17.33;0:11.93;1050;17.38;0:11.74;1250;16.85;0:12.76
EXTRA HOT;12;250;17.66;0:18.21;450;17.4;0:11.73;650;16.88;0:12.10;850;17.43;0:11.77;1050;17.32;0:11.70;1250;17.11;0:12.26
ROYAL SCRIPTURE;14;250;17.32;0:17.80;450;17.24;0:11.76;650;16.87;0:12.09;850;17.27;0:11.87;1050;17.22;0:11.90;1250;16.52;0:12.40
EMBELLISHER;11;250;17.36;0:18.13;450;17.23;0:11.88;650;16.95;0:12.12;850;18.7;0:11.77;1050;17.64;0:11.71;1250;16.9;0:12.32
TRIOMPHE;16;250;17.23;0:17.99;450;17.12;0:11.83;650;16.84;0:12.04;850;17.41;0:11.86;1050;17.46;0:11.84;1250;16.62;0:12.50
PRODIGAL LAD;15;250;17.45;0:17.67;450;17.74;0:11.81;650;16.93;0:12.07;850;17.29;0:12.00;1050;16.96;0:12.18;1250;15.29;0:14.98
NASHO;1;250;0;0:00.00;450;0;0:00.00;650;0;0:00.00;850;0;0:00.00;1050;0;0:00.00;1250;0;0:00.00
HALLIWELL;3;250;0;0:00.00;450;0;0:00.00;650;0;0:00.00;850;0;0:00.00;1050;0;0:00.00;1250;0;0:00.00
CORK HARBOUR;8;250;0;0:00.00;450;0;0:00.00;650;0;0:00.00;850;0;0:00.00;1050;0;0:00.00;1250;0;0:00.00
COLLATED;13;250;0;0:00.00;450;0;0:00.00;650;0;0:00.00;850;0;0:00.00;1050;0;0:00.00;1250;0;0:00.00
JUSTICA'S BONUS;17;250;0;0:00.00;450;0;0:00.00;650;0;0:00.00;850;0;0:00.00;1050;0;0:00.00;1250;0;0:00.00
