24/06/2026 12:00:00 AM;Sportsbet-Ballarat Synthetic-Professional-2026-06-24;Brandt 3YO BM64 Handicap;00:01:14.783;BALL_1500m_POLY
Audio Pop Cam;4;200;17.45;00:00:14.370;400;18.19;00:00:11.400;600;17.16;00:00:11.770;800;17.5;00:00:11.880;1000;17.99;00:00:11.410;1200;17.44;00:00:11.830
Dynamite Dancer;3;200;18.46;00:00:13.820;400;18.64;00:00:11.290;600;17.35;00:00:11.970;800;17.69;00:00:11.970;1000;17.65;00:00:11.560;1200;17.59;00:00:12.110
Sea Trader;1;200;17.41;00:00:14.820;400;18.38;00:00:11.260;600;17.88;00:00:11.750;800;17.38;00:00:11.890;1000;17.91;00:00:11.500;1200;17.49;00:00:11.830
Nightime Star;5;200;18.09;00:00:14.280;400;18.05;00:00:11.380;600;17.28;00:00:11.810;800;17.01;00:00:11.810;1000;17.26;00:00:11.810;1200;16.89;00:00:12.280
Russian Duchess;6;200;17.59;00:00:14.040;400;17.87;00:00:11.510;600;17.12;00:00:11.990;800;17.39;00:00:11.830;1000;17.6;00:00:11.620;1200;16.85;00:00:12.460
Brroosha;7;200;18.3;00:00:13.950;400;18.26;00:00:11.470;600;17.33;00:00:11.850;800;17.14;00:00:12.040;1000;16.66;00:00:12.180;1200;16.4;00:00:13.030
Aloisi;2;200;0;00:00:00.000;400;0;00:00:00.000;600;0;00:00:00.000;800;0;00:00:00.000;1000;0;00:00:00.000;1200;0;00:00:00.000
