2026-06-27 00:00:00;Morphettville Parks-Professional-2026-06-27;Sportsbet Jockey Watch Handicap
OMAHA DAWN;9;200;18.51;0:14.26;400;18.5;0:10.96;600;18.26;0:11.13;800;18.43;0:11.03;1000;17.63;0:11.80
SIR NOW;1;200;18.68;0:13.82;400;18.87;0:10.79;600;18.23;0:11.29;800;18.09;0:11.31;1000;17.37;0:12.00
DEEPFLOAT DIVA;10;200;18.55;0:14.17;400;18.55;0:10.96;600;18.03;0:11.32;800;18.02;0:11.29;1000;17.37;0:11.83
VOLCANIC EXPRESS;2;200;17.64;0:14.95;400;18.53;0:11.00;600;18.8;0:10.94;800;18.46;0:11.05;1000;17.95;0:11.82
SUPER ALANA;6;200;17.91;0:13.93;400;18.45;0:11.03;600;18.12;0:11.32;800;17.75;0:11.50;1000;17.14;0:12.13
WINNING REVOLUTION;4;200;17.67;0:14.82;400;18.4;0:11.02;600;18.46;0:10.98;800;18.3;0:11.20;1000;17.51;0:12.00
GIN A TONIC;3;200;18.75;0:13.89;400;19.08;0:10.76;600;18.02;0:11.27;800;17.89;0:11.59;1000;16.68;0:12.55
HELLO WORLD;8;200;18.19;0:14.48;400;18.57;0:10.96;600;18.12;0:11.15;800;17.83;0:11.41;1000;17.08;0:12.31
PURE BLISS;7;200;18.44;0:14.52;400;18.55;0:10.90;600;18.49;0:11.22;800;18.39;0:11.26;1000;17.83;0:12.44
LOST HIS BEANS;5;200;18.11;0:14.86;400;18.62;0:10.97;600;18.39;0:11.11;800;17.84;0:11.72;1000;16.56;0:12.49
