2026-07-29 00:00:00;Sportsbet Sandown Hillside-Professional-2026-07-29;MRC Membership Made Of Moments Handicap
WALTER SPUR;8;200;18.09;0:14.46;400;19.15;0:10.76;600;18.42;0:11.28;800;18.12;0:11.27;1000;17.09;0:12.55
NORDIC STRIKE;7;200;18.38;0:13.76;400;18.77;0:10.89;600;18.26;0:11.23;800;18.28;0:11.44;1000;16.44;0:13.06
DREAMZEL;1;200;18.34;0:13.99;400;18.72;0:10.87;600;18.38;0:11.09;800;18.11;0:11.45;1000;16.39;0:13.14
TOWER BRIDGE;5;200;18.3;0:14.23;400;19.05;0:10.85;600;18.55;0:11.22;800;17.88;0:11.54;1000;16.25;0:13.06
WEAPON CLEAR;4;200;18.61;0:13.59;400;18.76;0:10.87;600;17.93;0:11.30;800;17.95;0:11.57;1000;16.39;0:13.60
IMMINANCE;9;200;18.01;0:14.13;400;18.75;0:10.88;600;18.21;0:11.31;800;17.68;0:11.64;1000;16.22;0:13.09
ANTONITO;3;200;18.09;0:14.18;400;18.78;0:10.88;600;18.08;0:11.41;800;17.61;0:11.72;1000;16.48;0:13.72
UMGAWA;2;200;18.05;0:13.95;400;18.49;0:11.00;600;18.06;0:11.27;800;17.58;0:11.87;1000;15.59;0:14.28
FOXENBERG;6;200;0;0:00.00;400;0;0:00.00;600;0;0:00.00;800;0;0:00.00;1000;0;0:00.00
