2026-07-25 00:00:00;Caulfield-Professional-2026-07-25;Sportsbet Fixed Odds Exotics Handicap
CUSTOM;3;200;18.55;0:14.33;400;18.78;0:10.75;600;18.46;0:11.01;800;17.81;0:11.63;1000;18.31;0:11.10;1200;18.34;0:11.47
SUN SETTING;8;200;18.37;0:14.12;400;18.8;0:10.77;600;18.14;0:11.13;800;17.66;0:11.52;1000;18.05;0:11.35;1200;17.79;0:11.84
GLASGOW LASS;2;200;18.18;0:14.57;400;18.93;0:10.75;600;18.63;0:11.08;800;18.15;0:11.62;1000;18.54;0:11.14;1200;17.72;0:11.69
ROYAL LASS;6;200;18.46;0:13.94;400;19.04;0:10.61;600;18.7;0:11.02;800;17.79;0:11.47;1000;17.43;0:11.55;1200;16.71;0:12.38
RECUPERATO;5;200;18.26;0:14.16;400;18.83;0:10.82;600;18.41;0:11.04;800;17.78;0:11.70;1000;17.77;0:11.48;1200;17.58;0:11.81
TAKEKO;1;200;19.27;0:13.94;400;19.28;0:10.75;600;18.38;0:11.07;800;17.5;0:11.71;1000;17.55;0:11.52;1200;17.15;0:12.07
VAIN CHAMPAGNE;9;200;18.35;0:14.60;400;18.64;0:10.79;600;18.46;0:11.03;800;17.91;0:11.69;1000;18.25;0:11.19;1200;17.92;0:11.78
MYSTERY 'N' DRAMA;7;200;18.07;0:14.67;400;18.72;0:10.82;600;18.46;0:11.07;800;17.99;0:11.79;1000;18.25;0:11.22;1200;17.54;0:11.64
HAPPY LINK;10;200;18.38;0:14.19;400;18.79;0:10.76;600;18.38;0:11.07;800;17.71;0:11.64;1000;17.63;0:11.62;1200;16.86;0:12.38
DIVINE THOUGHTS;4;200;18.81;0:13.88;400;19.0;0:10.59;600;18.86;0:11.06;800;17.32;0:11.77;1000;16.85;0:12.12;1200;15.67;0:13.68
