2026-03-09 00:00:00;Morphettville-Professional-2026-03-09;Winning Edge Presentations Handicap
MATHEMATICIAN;3;50;15.19;0:05.56;250;18.74;0:11.17;450;18.72;0:10.90;650;18.19;0:11.16;850;18.91;0:10.80;1050;18.85;0:11.30
SHOCAP;5;50;15.38;0:05.38;250;18.86;0:11.15;450;18.83;0:10.88;650;18.25;0:11.23;850;18.65;0:10.97;1050;18.32;0:11.63
WILTSHIRE SQUARE;4;50;15.43;0:05.52;250;18.84;0:11.18;450;18.62;0:10.86;650;18.28;0:11.18;850;18.30;0:11.06;1050;18.08;0:11.52
MORE THAN HOPE;7;50;15.67;0:05.39;250;19.16;0:10.88;450;18.93;0:10.97;650;17.95;0:11.30;850;18.07;0:11.26;1050;17.53;0:11.70
BARDIGRUB;6;50;15.83;0:05.30;250;18.80;0:11.12;450;18.79;0:10.93;650;18.09;0:11.22;850;18.23;0:11.24;1050;17.62;0:11.85
GAZZ;2;50;15.94;0:05.37;250;19.15;0:10.91;450;19.16;0:10.89;650;17.94;0:11.33;850;17.72;0:11.49;1050;17.07;0:12.23
Violet Lovebug;1;200;0;00:00.0;400;0;00:00.0;600;0;00:00.0;800;0;00:00.0;1000;0;00:00.0;1200;0;00:00.0
