7/03/2026 12:00:00 AM;Flemington-Professional-2026-03-07;Good Friday Appeal Ottawa Stakes;00:00:58.799;FLEM_1200m_Track
Medicinal;2;200;18.55;00:00:13.860;400;18.61;00:00:10.920;600;18.39;00:00:11.110;800;18.87;00:00:10.700;1000;18.75;00:00:11.210
Jadzia;8;200;18.27;00:00:14.010;400;18.59;00:00:10.880;600;18.58;00:00:11.010;800;19;00:00:10.680;1000;18.5;00:00:11.330
Scintillation;4;200;18.65;00:00:13.980;400;18.9;00:00:10.790;600;18.49;00:00:11.040;800;18.84;00:00:10.750;1000;18.45;00:00:11.500
Rebel Tuesday;1;200;18.16;00:00:14.240;400;18.7;00:00:10.910;600;18.72;00:00:11.040;800;19.01;00:00:10.650;1000;18.78;00:00:11.250
Simply Steffi;3;200;18.65;00:00:14.410;400;19.1;00:00:10.710;600;18.67;00:00:11.060;800;18.95;00:00:10.660;1000;18.57;00:00:11.280
Sanctuary;10;200;18.43;00:00:14.130;400;18.69;00:00:10.810;600;18.8;00:00:11.000;800;18.94;00:00:10.790;1000;18.22;00:00:11.460
Chapados;6;200;17.8;00:00:14.250;400;18.67;00:00:10.840;600;18.71;00:00:10.990;800;18.97;00:00:10.750;1000;18.25;00:00:11.450
Better Off Alone;5;200;18.18;00:00:14.040;400;18.53;00:00:10.950;600;18.51;00:00:11.060;800;18.79;00:00:10.810;1000;17.92;00:00:11.740
Diamond Dawn;7;200;0;00:00:00.000;400;0;00:00:00.000;600;0;00:00:00.000;800;0;00:00:00.000;1000;0;00:00:00.000
Money Honey;9;200;0;00:00:00.000;400;0;00:00:00.000;600;0;00:00:00.000;800;0;00:00:00.000;1000;0;00:00:00.000
