2026-07-16 00:00:00;Southside Cranbourne-Professional-2026-07-16;Summerset Retirement Village Cranbourne North Maiden Plate
COVERT ACTION;10;200;18.17;0:13.52;400;18.74;0:10.86;600;18.39;0:11.59;800;17.68;0:11.82;1000;17.27;0:12.10
KOKO;6;200;18.29;0:13.78;400;18.64;0:10.87;600;18.09;0:11.64;800;17.48;0:11.75;1000;17.17;0:12.07
MAJESTIC SON;11;200;18.11;0:13.98;400;18.59;0:10.97;600;18.23;0:11.56;800;17.57;0:11.84;1000;17.47;0:11.84
BOSSY BABE;12;200;17.94;0:14.08;400;18.93;0:10.97;600;18.45;0:11.42;800;17.78;0:12.00;1000;16.92;0:12.45
LA VELOCITA;7;200;18.29;0:13.87;400;18.9;0:10.78;600;18.19;0:11.70;800;17.17;0:12.22;1000;16.33;0:12.53
BOURDETO;4;200;18.39;0:13.70;400;18.84;0:10.73;600;18.1;0:11.74;800;17.7;0:12.29;1000;16.36;0:13.23
CALLING TOM;1;200;18.48;0:14.02;400;18.77;0:10.89;600;17.64;0:11.83;800;16.43;0:12.44;1000;16.3;0:12.78
DELAVEGA;2;200;0;0:00.00;400;0;0:00.00;600;0;0:00.00;800;0;0:00.00;1000;0;0:00.00
VINTELL;3;200;0;0:00.00;400;0;0:00.00;600;0;0:00.00;800;0;0:00.00;1000;0;0:00.00
CARLOW ROSE;5;200;0;0:00.00;400;0;0:00.00;600;0;0:00.00;800;0;0:00.00;1000;0;0:00.00
REINA DEL RIO;8;200;0;0:00.00;400;0;0:00.00;600;0;0:00.00;800;0;0:00.00;1000;0;0:00.00
BRAZEN BOLD;9;200;0;0:00.00;400;0;0:00.00;600;0;0:00.00;800;0;0:00.00;1000;0;0:00.00
CHADLINGTON;13;200;0;0:00.00;400;0;0:00.00;600;0;0:00.00;800;0;0:00.00;1000;0;0:00.00
