2026-06-27 00:00:00;Morphettville Parks-Professional-2026-06-27;Fleurieu Milk Company Handicap
BARDIGRUB;4;200;19.09;0:13.42;400;19.23;0:10.68;600;18.2;0:11.46;800;17.64;0:11.73;1000;16.87;0:12.56
TOBIKKO;2;200;19.08;0:13.75;400;19.03;0:10.93;600;17.86;0:11.50;800;17.77;0:11.57;1000;17.38;0:12.14
OIE DE TOULOUSE;3;200;18.69;0:14.06;400;19.09;0:10.85;600;17.76;0:11.48;800;17.3;0:11.74;1000;16.78;0:12.51
BLONDIE'S AWARD;11;200;18.63;0:13.78;400;18.81;0:11.06;600;17.7;0:11.50;800;17.13;0:11.84;1000;16.66;0:12.55
REDWINELOVER;12;200;19.14;0:13.49;400;19.2;0:10.93;600;18.05;0:11.52;800;17.21;0:11.96;1000;16.3;0:12.87
NOSTRYIA;7;200;18.9;0:14.00;400;18.9;0:10.92;600;18.19;0:11.43;800;17.49;0:11.83;1000;16.54;0:12.72
SO POLITE;9;200;19.47;0:13.52;400;19.53;0:10.63;600;18.31;0:11.45;800;17.52;0:12.01;1000;16.03;0:13.34
MINE ALL MINE;15;200;18.95;0:14.02;400;18.99;0:11.04;600;18.16;0:11.46;800;18.07;0:11.80;1000;16.87;0:12.62
REINE OF NINE;14;200;18.57;0:14.27;400;18.91;0:10.91;600;18.16;0:11.35;800;18.11;0:11.78;1000;16.57;0:12.66
GUSTY WAY;16;200;18.71;0:13.74;400;18.78;0:11.02;600;18.3;0:11.66;800;17.48;0:11.92;1000;16.37;0:12.71
MADAM JEANETTE;6;200;18.82;0:13.60;400;19.15;0:10.85;600;18.07;0:11.55;800;17.12;0:12.14;1000;15.8;0:13.48
ALPHA STREET;17;200;19.09;0:13.56;400;18.85;0:10.97;600;18.03;0:11.54;800;16.9;0:12.27;1000;15.75;0:13.32
ZATANNA;10;200;18.61;0:13.57;400;18.86;0:10.92;600;17.84;0:11.61;800;17.13;0:12.12;1000;15.93;0:13.62
SHARENDIPITY;13;200;18.26;0:14.13;400;18.59;0:11.00;600;17.89;0:11.52;800;17.39;0:12.07;1000;15.86;0:14.19
SQUAD;1;200;0;0:00.00;400;0;0:00.00;600;0;0:00.00;800;0;0:00.00;1000;0;0:00.00
BOHEMIAN ANGEL;5;200;0;0:00.00;400;0;0:00.00;600;0;0:00.00;800;0;0:00.00;1000;0;0:00.00
THE MAGISTRATE;8;200;0;0:00.00;400;0;0:00.00;600;0;0:00.00;800;0;0:00.00;1000;0;0:00.00
VALABING;18;200;0;0:00.00;400;0;0:00.00;600;0;0:00.00;800;0;0:00.00;1000;0;0:00.00
