2026-07-15 00:00:00;Sportsbet Sandown Hillside-Professional-2026-07-15;Sportsbet Feed Handicap                                                              
FINAL MOMENT;12;200;18.53;0:13.70;400;19.25;0:10.64;600;18.72;0:10.95;800;18.51;0:11.27;1000;16.72;0:12.98
SALUTED;1;200;18.76;0:13.43;400;19.41;0:10.57;600;18.55;0:11.01;800;18.32;0:11.48;1000;16.27;0:13.26
BLUE HUMMA;3;200;18.6;0:13.53;400;19.45;0:10.88;600;18.72;0:11.01;800;18.6;0:11.24;1000;16.57;0:13.11
BOLD SUITOR;6;200;18.69;0:13.35;400;19.48;0:10.62;600;18.93;0:10.98;800;18.3;0:11.49;1000;16.36;0:13.35
NORDIC STRIKE;2;200;18.7;0:13.48;400;19.32;0:10.66;600;18.54;0:11.02;800;18.44;0:11.42;1000;16.41;0:13.24
TAN TAT ART;10;200;18.23;0:13.82;400;19.19;0:10.82;600;18.56;0:11.15;800;18.34;0:11.52;1000;16.64;0:12.83
SATIN DIVA;5;200;18.09;0:13.75;400;19.05;0:10.85;600;18.66;0:11.29;800;17.8;0:11.52;1000;16.5;0:12.89
OBUCCI;7;200;17.98;0:13.70;400;19.1;0:10.77;600;18.64;0:11.10;800;18.42;0:11.51;1000;15.96;0:13.70
LOGAM;4;200;18.32;0:13.61;400;19.84;0:10.73;600;18.54;0:11.27;800;17.51;0:11.84;1000;15.87;0:13.46
BLISS BOMB;9;200;18.11;0:13.78;400;19.05;0:10.82;600;18.85;0:11.33;800;17.73;0:11.77;1000;15.98;0:13.51
OUR WYND CHYMES;8;200;18.08;0:13.87;400;19.01;0:10.85;600;18.66;0:11.00;800;17.82;0:11.77;1000;15.96;0:13.79
LONGREACH DROVER;11;200;0;0:00.00;400;0;0:00.00;600;0;0:00.00;800;0;0:00.00;1000;0;0:00.00
