2026-06-27 00:00:00;Morphettville Parks-Professional-2026-06-27;Dominant Clean Sweep Handicap
CANNY DEFENSE;1;168;17.26;0:12.98;368;17.97;0:11.39;568;16.71;0:12.14;768;16.37;0:12.35;968;16.55;0:12.21;1168;16.94;0:12.00;1368;16.51;0:12.43;1568;16.09;0:12.82
PIERROPLANE;3;168;17.68;0:12.59;368;17.75;0:11.49;568;16.72;0:12.16;768;16.35;0:12.35;968;16.72;0:12.25;1168;16.89;0:12.04;1368;16.53;0:12.43;1568;15.66;0:13.11
AFFAIRE VUE;9;168;16.92;0:12.72;368;17.45;0:11.68;568;17.08;0:12.26;768;16.46;0:12.35;968;16.54;0:12.32;1168;17.02;0:11.98;1368;16.62;0:12.30;1568;16.04;0:12.89
WIND RUSH;2;168;17.18;0:12.64;368;17.74;0:11.48;568;16.88;0:12.22;768;16.3;0:12.39;968;16.74;0:12.22;1168;17.02;0:12.00;1368;16.51;0:12.46;1568;15.6;0:13.32
PETIT EAGLE;8;168;17.11;0:13.24;368;17.42;0:11.61;568;17.0;0:12.04;768;16.6;0:12.32;968;16.51;0:12.36;1168;16.8;0:12.22;1368;16.51;0:12.32;1568;16.03;0:12.63
EMPIRE GRACE;7;168;17.21;0:12.93;368;17.45;0:11.55;568;16.91;0:12.29;768;16.37;0:12.37;968;16.44;0:12.39;1168;16.68;0:12.28;1368;16.5;0:12.34;1568;16.01;0:12.98
SAINT BOOM;5;168;16.82;0:13.22;368;17.54;0:11.70;568;17.0;0:12.12;768;16.86;0:12.14;968;16.86;0:12.22;1168;16.61;0:12.40;1368;16.17;0:12.83;1568;15.33;0:13.58
VANINETTI;4;168;17.8;0:13.52;368;17.8;0:11.32;568;17.38;0:11.98;768;16.51;0:12.28;968;16.52;0:12.36;1168;16.93;0:12.42;1368;16.13;0:12.94;1568;15.22;0:13.53
HIDDEN BOUNTY;6;168;17.03;0:12.80;368;17.87;0:11.51;568;16.94;0:12.14;768;16.45;0:12.32;968;16.37;0:12.35;1168;16.54;0:12.62;1368;15.9;0:13.14;1568;15.16;0:13.76
BELLE FROM HELL;10;168;16.3;0:13.22;368;17.52;0:11.66;568;17.2;0:12.33;768;17.18;0:11.88;968;17.23;0:12.10;1168;16.57;0:12.62;1368;15.89;0:13.07;1568;14.67;0:14.67
CANYON WIND;11;168;0;0:00.00;368;0;0:00.00;568;0;0:00.00;768;0;0:00.00;968;0;0:00.00;1168;0;0:00.00;1368;0;0:00.00;1568;0;0:00.00
