2026-07-14 00:00:00;Sportsbet-Ballarat Synthetic-Professional-2026-07-14;Global Turf Maiden Plate
VEGAS MISSILE;9;200;18.0;0:13.14;400;17.95;0:11.57;600;17.53;0:12.16;800;17.6;0:11.54;1000;17.31;0:11.66;1200;17.02;0:12.34
BOHEMIAN STAR;2;200;17.58;0:14.06;400;17.84;0:11.61;600;18.12;0:11.50;800;17.97;0:11.61;1000;17.79;0:11.54;1200;17.3;0:12.17
SPIDERMAN;16;200;18.49;0:13.69;400;18.39;0:11.06;600;17.74;0:11.45;800;17.45;0:11.68;1000;17.25;0:11.86;1200;16.61;0:12.94
BOZZA;3;200;17.37;0:14.21;400;17.71;0:11.67;600;17.79;0:11.49;800;17.85;0:11.67;1000;17.64;0:11.57;1200;17.39;0:12.27
PRINCE OF SPARTA;15;200;17.68;0:13.70;400;18.02;0:11.58;600;17.76;0:11.65;800;17.58;0:11.77;1000;17.5;0:11.70;1200;16.85;0:12.55
COMMANDEUR;5;200;17.65;0:13.90;400;17.89;0:11.29;600;17.93;0:11.60;800;17.46;0:11.77;1000;17.61;0:11.75;1200;16.59;0:12.66
FINE SIERRA;12;200;17.36;0:13.95;400;18.11;0:11.35;600;17.95;0:11.47;800;17.57;0:11.75;1000;17.21;0:11.82;1200;16.67;0:12.64
PERLAGE;13;200;17.7;0:13.80;400;18.33;0:11.32;600;17.89;0:11.55;800;17.5;0:11.73;1000;17.21;0:11.91;1200;16.31;0:13.27
DIAMOND DAWN;11;200;18.25;0:14.30;400;17.86;0:11.27;600;17.81;0:11.46;800;17.74;0:11.74;1000;17.11;0:11.90;1200;16.83;0:12.92
ADRASTOS;1;200;17.4;0:14.22;400;17.78;0:11.38;600;17.68;0:11.54;800;17.26;0:11.99;1000;16.73;0:12.10;1200;16.63;0:12.76
CHROMEDOME;4;200;17.75;0:14.65;400;18.01;0:11.24;600;17.81;0:11.55;800;17.39;0:11.85;1000;17.17;0:11.98;1200;16.61;0:12.92
STREET LEGEND;7;200;17.37;0:13.57;400;17.61;0:11.39;600;18.02;0:11.92;800;17.02;0:12.16;1000;17.73;0:11.94;1200;15.54;0:14.00
RENEGE;6;200;0;0:00.00;400;0;0:00.00;600;0;0:00.00;800;0;0:00.00;1000;0;0:00.00;1200;0;0:00.00
BEGONIA;8;200;0;0:00.00;400;0;0:00.00;600;0;0:00.00;800;0;0:00.00;1000;0;0:00.00;1200;0;0:00.00
COLLECTIONNEUR;10;200;0;0:00.00;400;0;0:00.00;600;0;0:00.00;800;0;0:00.00;1000;0;0:00.00;1200;0;0:00.00
TOUS;14;200;0;0:00.00;400;0;0:00.00;600;0;0:00.00;800;0;0:00.00;1000;0;0:00.00;1200;0;0:00.00
KEEPY UPPY;17;200;0;0:00.00;400;0;0:00.00;600;0;0:00.00;800;0;0:00.00;1000;0;0:00.00;1200;0;0:00.00
