2026-07-16 00:00:00;Southside Cranbourne-Professional-2026-07-16;Summerset Retirement Village Cranbourne North Handicap
MR TICKLES;3;200;19.07;0:13.03;400;19.38;0:10.50;600;18.35;0:11.70;800;17.18;0:12.23;1000;16.32;0:12.82
TESORO MIO;12;200;19.03;0:12.95;400;19.55;0:10.52;600;17.7;0:11.80;800;17.13;0:12.13;1000;16.08;0:13.19
IMMINANCE;9;200;18.73;0:13.59;400;19.49;0:10.49;600;18.44;0:11.61;800;17.36;0:12.38;1000;16.58;0:12.54
ROOM FOR BINGO;4;200;19.11;0:12.93;400;19.82;0:10.37;600;18.66;0:11.52;800;16.75;0:12.38;1000;16.07;0:13.45
NASRAAWY;1;200;18.66;0:13.18;400;19.1;0:10.58;600;18.38;0:11.62;800;17.28;0:12.28;1000;16.22;0:13.07
STRUGGLE STREET;5;200;18.46;0:13.27;400;19.45;0:10.55;600;18.66;0:11.65;800;17.6;0:12.22;1000;16.18;0:13.05
MANHATTAN THUNDER;7;200;18.4;0:13.63;400;19.07;0:10.66;600;18.26;0:11.60;800;17.41;0:12.02;1000;16.8;0:12.86
MAGIC FIELD;10;200;18.72;0:13.37;400;19.35;0:10.56;600;17.98;0:11.52;800;17.09;0:12.32;1000;16.17;0:13.11
ALPINE FOX;6;200;18.64;0:13.74;400;19.36;0:10.59;600;18.12;0:11.61;800;16.85;0:12.24;1000;16.42;0:12.87
MISS COTOLETTA;8;200;19.63;0:13.06;400;20.01;0:10.23;600;18.79;0:11.82;800;17.34;0:12.50;1000;15.9;0:13.45
STIRRUP;15;200;18.86;0:13.22;400;18.97;0:10.71;600;18.28;0:11.99;800;16.72;0:12.66;1000;15.77;0:13.76
EDGES DIAMOND;2;200;0;0:00.00;400;0;0:00.00;600;0;0:00.00;800;0;0:00.00;1000;0;0:00.00
ROSANGELA;11;200;0;0:00.00;400;0;0:00.00;600;0;0:00.00;800;0;0:00.00;1000;0;0:00.00
DISMANTLE;13;200;0;0:00.00;400;0;0:00.00;600;0;0:00.00;800;0;0:00.00;1000;0;0:00.00
LAKE GILLEAR;14;200;0;0:00.00;400;0;0:00.00;600;0;0:00.00;800;0;0:00.00;1000;0;0:00.00
BOLD SUITOR;16;200;0;0:00.00;400;0;0:00.00;600;0;0:00.00;800;0;0:00.00;1000;0;0:00.00
