2026-07-18 00:00:00;Flemington-Professional-2026-07-18;VRC Member Brendan Sobozynski Plate
PIASTRI;12;200;17.98;0:14.10;400;18.35;0:11.13;600;18.54;0:11.07;800;18.55;0:11.00;1000;18.55;0:11.08;1200;17.42;0:11.97
ROYAL INSIGNIA;3;200;17.2;0:14.59;400;18.54;0:11.09;600;18.41;0:11.00;800;18.74;0:10.77;1000;18.65;0:10.92;1200;17.96;0:12.05
BETWITCHERY;6;200;18.04;0:13.95;400;18.26;0:11.04;600;18.25;0:11.05;800;18.29;0:11.06;1000;18.02;0:11.37;1200;17.26;0:11.98
MR VERSE;9;200;17.43;0:14.35;400;18.82;0:11.05;600;18.52;0:11.00;800;18.91;0:10.86;1000;18.62;0:11.13;1200;17.1;0:12.06
SIXTEEN REASONS;10;200;17.72;0:14.34;400;18.4;0:11.10;600;18.32;0:11.05;800;18.65;0:10.90;1000;18.47;0:11.20;1200;17.2;0:12.27
GREAT MAXIMUS;1;200;17.7;0:14.36;400;17.91;0:11.36;600;18.33;0:11.12;800;19.04;0:10.62;1000;18.46;0:11.19;1200;17.33;0:12.30
BARARI;11;200;17.45;0:14.23;400;17.98;0:11.37;600;18.9;0:11.00;800;19.23;0:10.68;1000;18.54;0:11.22;1200;16.84;0:12.46
FLYER;8;200;17.59;0:14.30;400;17.75;0:11.45;600;18.45;0:11.02;800;19.24;0:10.69;1000;18.63;0:11.23;1200;17.27;0:12.46
HOME RULE;2;200;18.19;0:13.94;400;19.0;0:10.90;600;18.44;0:11.11;800;18.3;0:11.15;1000;17.75;0:11.65;1200;16.62;0:12.49
BULLETS HIGH;7;200;17.5;0:14.42;400;17.73;0:11.36;600;18.7;0:11.01;800;18.97;0:10.81;1000;18.43;0:11.32;1200;17.35;0:12.42
MOBY DICK;4;200;17.96;0:14.22;400;18.09;0:11.30;600;18.31;0:11.08;800;19.17;0:10.73;1000;18.69;0:11.37;1200;16.88;0:12.68
STEEL MOVE;5;200;17.34;0:14.77;400;18.0;0:11.30;600;18.49;0:11.04;800;19.09;0:10.65;1000;18.73;0:11.34;1200;16.66;0:12.46
JUGIONG;14;200;17.63;0:14.37;400;17.56;0:11.59;600;18.56;0:10.94;800;19.54;0:10.52;1000;18.49;0:11.44;1200;16.63;0:13.00
ZETHUS;15;200;17.48;0:14.38;400;18.17;0:11.22;600;18.49;0:11.01;800;18.36;0:11.05;1000;17.82;0:11.70;1200;16.32;0:13.37
WOLFY;13;200;0;0:00.00;400;0;0:00.00;600;0;0:00.00;800;0;0:00.00;1000;0;0:00.00;1200;0;0:00.00
