2026-07-14 00:00:00;Sportsbet-Ballarat Synthetic-Professional-2026-07-14;Manhari Maiden Plate
OUTSIDETHESQUARE;7;100;16.85;0:08.45;300;18.01;0:11.23;500;18.01;0:11.60;700;16.51;0:12.56;900;16.48;0:12.64;1100;17.68;0:12.07;1300;17.66;0:11.69;1500;17.18;0:12.09
IDLING BEHIND;4;100;16.11;0:08.44;300;17.94;0:11.37;500;17.72;0:11.70;700;16.48;0:12.57;900;16.57;0:12.41;1100;17.64;0:12.18;1300;17.5;0:11.63;1500;17.14;0:12.26
CRAFTY QUEEN;2;100;16.23;0:08.68;300;17.97;0:11.47;500;17.43;0:11.91;700;16.51;0:12.61;900;16.7;0:12.63;1100;18.07;0:11.98;1300;18.23;0:11.22;1500;17.49;0:12.07
ASHINA;1;100;16.32;0:08.70;300;17.78;0:11.48;500;17.67;0:11.87;700;16.61;0:12.55;900;16.87;0:12.52;1100;17.95;0:12.03;1300;18.0;0:11.49;1500;16.81;0:12.33
EMBODIMENT;13;100;16.8;0:08.44;300;18.42;0:11.14;500;18.14;0:11.60;700;16.78;0:12.40;900;16.32;0:12.70;1100;16.91;0:12.23;1300;17.32;0:11.73;1500;16.64;0:12.73
VERY FAMOUS;12;100;17.16;0:08.86;300;18.37;0:11.16;500;17.89;0:11.64;700;16.31;0:12.68;900;16.53;0:12.39;1100;17.45;0:12.20;1300;17.79;0:11.57;1500;17.33;0:12.49
JULEP;5;100;16.59;0:08.66;300;18.1;0:11.21;500;17.68;0:11.70;700;16.27;0:12.54;900;16.46;0:12.60;1100;17.08;0:12.21;1300;17.24;0:11.85;1500;16.32;0:12.73
RHINEGLOW;8;100;16.11;0:08.55;300;17.93;0:11.42;500;17.76;0:11.77;700;16.46;0:12.73;900;16.75;0:12.42;1100;17.26;0:12.07;1300;17.52;0:11.77;1500;16.54;0:13.03
CUP DAY BABY;3;100;16.56;0:08.59;300;17.74;0:11.40;500;17.45;0:11.87;700;16.48;0:12.55;900;16.48;0:12.58;1100;17.01;0:12.20;1300;17.14;0:11.95;1500;16.39;0:12.81
TA TA TANGO;11;100;17.16;0:08.63;300;18.68;0:11.01;500;18.45;0:11.47;700;16.62;0:12.58;900;16.59;0:12.56;1100;16.87;0:12.48;1300;16.92;0:12.06;1500;16.23;0:13.38
HOPKINS STAR;14;100;16.41;0:08.96;300;17.91;0:11.43;500;17.78;0:11.77;700;16.75;0:12.54;900;16.53;0:12.26;1100;17.2;0:12.26;1300;17.07;0:11.92;1500;16.16;0:13.14
SHOW NO DOUBT;10;100;16.65;0:08.54;300;18.21;0:11.11;500;18.02;0:11.71;700;16.3;0:12.58;900;16.33;0:12.58;1100;17.19;0:12.30;1300;16.95;0:12.10;1500;15.86;0:13.41
JUST CURIOUS;6;100;0;0:00.00;300;0;0:00.00;500;0;0:00.00;700;0;0:00.00;900;0;0:00.00;1100;0;0:00.00;1300;0;0:00.00;1500;0;0:00.00
ROXOLANI;9;100;0;0:00.00;300;0;0:00.00;500;0;0:00.00;700;0;0:00.00;900;0;0:00.00;1100;0;0:00.00;1300;0;0:00.00;1500;0;0:00.00
FRENCH COURT;15;100;0;0:00.00;300;0;0:00.00;500;0;0:00.00;700;0;0:00.00;900;0;0:00.00;1100;0;0:00.00;1300;0;0:00.00;1500;0;0:00.00
