11/07/2026 12:00:00 AM;Caulfield-Professional-2026-07-11;Sportsbet Race Previews Handicap;00:01:07.928;CAUL_1200m_TRACK
Angels Fury;2;100;17.16;00:00:08.330;300;18.42;00:00:11.070;500;18.71;00:00:11.290;700;17.44;00:00:12.010;900;17.87;00:00:11.400;1100;17.59;00:00:11.940
Portinari;15;100;17.33;00:00:08.470;300;18.3;00:00:11.130;500;17.88;00:00:11.410;700;17.39;00:00:11.950;900;17.91;00:00:11.370;1100;17.59;00:00:11.830
Egyptian Dancer;6;100;17.61;00:00:08.170;300;18.58;00:00:10.970;500;18.22;00:00:11.300;700;17.14;00:00:11.990;900;17.48;00:00:11.670;1100;16.78;00:00:12.580
Ruby Guild;14;100;17.07;00:00:08.480;300;18.04;00:00:11.350;500;18;00:00:11.390;700;17.63;00:00:11.900;900;17.86;00:00:11.530;1100;17.87;00:00:12.060
Orchid Sky;12;100;17.65;00:00:08.680;300;18.18;00:00:11.170;500;17.83;00:00:11.410;700;17.54;00:00:11.820;900;17.48;00:00:11.650;1100;16.95;00:00:12.450
Ms Port Melbourne;10;100;18.03;00:00:08.460;300;18.55;00:00:11.010;500;17.77;00:00:11.470;700;17.01;00:00:12.070;900;17.26;00:00:11.800;1100;16.69;00:00:12.490
Play It Now;13;100;17.43;00:00:08.730;300;18.03;00:00:11.280;500;17.7;00:00:11.440;700;17.54;00:00:11.880;900;17.48;00:00:11.650;1100;17.18;00:00:12.350
Eilish;9;100;17.21;00:00:08.320;300;18.62;00:00:10.950;500;18.09;00:00:11.430;700;17.13;00:00:12.040;900;17.37;00:00:11.820;1100;16.52;00:00:12.920
Artrema;7;100;17.71;00:00:08.420;300;18.17;00:00:11.120;500;18.07;00:00:11.310;700;17.3;00:00:11.930;900;17.18;00:00:11.930;1100;16.35;00:00:12.780
Ole Affair;11;100;17.65;00:00:08.500;300;18.35;00:00:11.130;500;17.81;00:00:11.430;700;16.96;00:00:11.860;900;17.2;00:00:11.870;1100;16.12;00:00:13.120
Fontalicious;3;100;0;00:00:00.000;300;0;00:00:00.000;500;0;00:00:00.000;700;0;00:00:00.000;900;0;00:00:00.000;1100;0;00:00:00.000
Tag The Bride;4;100;0;00:00:00.000;300;0;00:00:00.000;500;0;00:00:00.000;700;0;00:00:00.000;900;0;00:00:00.000;1100;0;00:00:00.000
Andres Girl;5;100;0;00:00:00.000;300;0;00:00:00.000;500;0;00:00:00.000;700;0;00:00:00.000;900;0;00:00:00.000;1100;0;00:00:00.000
Contarini;8;100;0;00:00:00.000;300;0;00:00:00.000;500;0;00:00:00.000;700;0;00:00:00.000;900;0;00:00:00.000;1100;0;00:00:00.000
Vain Beauty;16;100;0;00:00:00.000;300;0;00:00:00.000;500;0;00:00:00.000;700;0;00:00:00.000;900;0;00:00:00.000;1100;0;00:00:00.000
Rubare;1;100;0;00:00:00.000;300;0;00:00:00.000;500;0;00:00:00.000;700;0;00:00:00.000;900;0;00:00:00.000;1100;0;00:00:00.000
