2026-07-16 00:00:00;Southside Cranbourne-Professional-2026-07-16;Frankston Sand Soil & Mini Mix Maiden Plate
DENY ENTRY;3;100;16.57;0:08.94;300;17.92;0:11.34;500;17.93;0:11.46;700;17.58;0:12.01;900;16.11;0:12.52;1100;16.2;0:12.51;1300;16.3;0:12.68;1500;15.79;0:12.90
TEMPERED EDGE;9;100;16.45;0:09.04;300;17.65;0:11.50;500;17.4;0:11.56;700;17.12;0:12.09;900;16.09;0:12.68;1100;16.18;0:12.54;1300;16.27;0:12.66;1500;16.09;0:12.73
WOLVES' DEN;10;100;16.38;0:08.89;300;18.24;0:11.28;500;18.05;0:11.51;700;17.29;0:12.02;900;16.39;0:12.55;1100;16.16;0:12.85;1300;15.72;0:13.22;1500;15.23;0:13.33
ROYAL STORM;6;100;16.32;0:08.83;300;18.1;0:11.36;500;17.75;0:11.59;700;17.05;0:12.14;900;16.21;0:12.62;1100;16.32;0:12.61;1300;16.23;0:12.92;1500;15.3;0:13.69
MORTAL PEAK;5;100;16.23;0:09.14;300;17.91;0:11.54;500;17.6;0:11.67;700;16.85;0:11.97;900;16.29;0:12.50;1100;16.22;0:12.64;1300;15.91;0:13.00;1500;15.36;0:13.53
SMART MOVES;8;100;16.51;0:08.78;300;17.78;0:11.45;500;17.57;0:11.61;700;17.15;0:12.03;900;16.42;0:12.49;1100;16.16;0:12.89;1300;15.74;0:13.27;1500;15.29;0:13.59
FROM YESTERDAY;14;100;16.32;0:09.21;300;17.8;0:11.52;500;17.17;0:11.73;700;17.09;0:12.08;900;16.7;0:12.30;1100;16.23;0:12.98;1300;15.97;0:13.15;1500;15.38;0:15.03
HAYAI TSURU;11;100;16.34;0:08.86;300;17.68;0:11.48;500;17.11;0:11.79;700;16.95;0:12.09;900;16.54;0:12.31;1100;16.19;0:13.29;1300;15.38;0:13.69;1500;14.51;0:15.02
FLYING BEROUKA;4;100;16.36;0:09.12;300;17.34;0:11.77;500;17.27;0:11.85;700;16.82;0:12.12;900;16.68;0:12.45;1100;15.45;0:13.31;1300;14.88;0:14.18;1500;14.17;0:14.42
ASKMUMASKDAD;1;100;16.34;0:08.98;300;17.79;0:11.52;500;17.73;0:11.44;700;17.24;0:12.06;900;16.49;0:12.48;1100;16.32;0:13.04;1300;15.51;0:13.83;1500;14.03;0:16.07
VINO'S BELLE;13;100;16.86;0:09.10;300;18.04;0:11.23;500;17.94;0:11.57;700;17.1;0:12.11;900;16.06;0:12.67;1100;15.7;0:13.24;1300;14.23;0:14.79;1500;13.12;0:16.61
DELTAKAI;2;100;0;0:00.00;300;0;0:00.00;500;0;0:00.00;700;0;0:00.00;900;0;0:00.00;1100;0;0:00.00;1300;0;0:00.00;1500;0;0:00.00
SHINES DISCREETLY;7;100;0;0:00.00;300;0;0:00.00;500;0;0:00.00;700;0;0:00.00;900;0;0:00.00;1100;0;0:00.00;1300;0;0:00.00;1500;0;0:00.00
ROXOLANI;12;100;0;0:00.00;300;0;0:00.00;500;0;0:00.00;700;0;0:00.00;900;0;0:00.00;1100;0;0:00.00;1300;0;0:00.00;1500;0;0:00.00
