2026-07-15 00:00:00;Sportsbet Sandown Hillside-Professional-2026-07-15;Tobin Brothers Celebrating Lives Handicap
DREAMZEL;2;200;18.84;0:13.68;400;18.75;0:10.93;600;18.89;0:11.22;800;18.36;0:11.31;1000;16.33;0:12.68
WALTER SPUR;10;200;18.03;0:14.12;400;18.43;0:11.09;600;18.48;0:11.15;800;18.31;0:11.15;1000;17.11;0:12.31
WEAPON CLEAR;4;200;18.07;0:13.59;400;18.6;0:11.05;600;18.24;0:11.10;800;18.04;0:11.40;1000;16.72;0:12.79
FARAWAY DREAM;7;200;18.14;0:13.75;400;18.66;0:11.06;600;18.78;0:11.10;800;18.41;0:11.44;1000;16.73;0:12.63
LEGACY BEL;11;200;18.12;0:13.76;400;18.38;0:11.06;600;18.12;0:11.21;800;18.12;0:11.28;1000;17.09;0:12.68
BELLA CINQUE;9;200;18.22;0:13.80;400;18.53;0:11.04;600;18.52;0:11.17;800;18;0:11.61;1000;16.15;0:13.08
MISTY LEGEND;3;200;18.35;0:13.89;400;18.73;0:10.94;600;18.6;0:11.25;800;18.45;0:11.40;1000;16.4;0:13.26
RAVENCLAW;1;200;18.12;0:13.66;400;18.58;0:10.96;600;18.28;0:11.33;800;17.69;0:11.82;1000;15.73;0:13.66
FOXENBERG;5;200;0;0:00.00;400;0;0:00.00;600;0;0:00.00;800;0;0:00.00;1000;0;0:00.00
BRING ME POWER;6;200;0;0:00.00;400;0;0:00.00;600;0;0:00.00;800;0;0:00.00;1000;0;0:00.00
SOJU;8;200;0;0:00.00;400;0;0:00.00;600;0;0:00.00;800;0;0:00.00;1000;0;0:00.00
