2026-07-16 00:00:00;Southside Cranbourne-Professional-2026-07-16;Computer Talk - Business I.T Experts Handicap
BEST TIME;4;200;18.02;0:14.33;400;18.07;0:11.43;600;17.6;0:11.57;800;16.84;0:12.44;1000;17.03;0:12.21;1200;16.98;0:12.20
ILLUMINANCE;11;200;17.82;0:13.97;400;17.9;0:11.40;600;17.63;0:11.51;800;16.9;0:12.49;1000;16.78;0:12.33;1200;16.74;0:12.51
GODTFRED KIRK;7;200;17.67;0:14.11;400;17.77;0:11.43;600;17.53;0:11.56;800;16.7;0:12.37;1000;16.82;0:12.32;1200;16.64;0:12.46
SETHEUS;18;200;17.6;0:14.44;400;18.13;0:11.39;600;17.7;0:11.51;800;16.58;0:12.44;1000;16.96;0:12.29;1200;16.9;0:12.25
STELLAR MOFEED;14;200;18.0;0:13.86;400;18.0;0:11.39;600;17.58;0:11.53;800;16.76;0:12.41;1000;16.61;0:12.53;1200;16.29;0:12.67
INTIMEOFNEED;19;200;17.57;0:14.76;400;18.21;0:11.38;600;17.72;0:11.58;800;16.78;0:12.61;1000;17.03;0:12.05;1200;16.89;0:12.16
SCHRODER'S MISTAKE;3;200;18.51;0:13.87;400;18.25;0:11.44;600;17.71;0:11.56;800;17.14;0:12.51;1000;16.66;0:12.54;1200;16.15;0:12.89
SEMELLE ROUGE;8;200;17.55;0:14.28;400;18.13;0:11.24;600;17.4;0:11.68;800;16.77;0:12.52;1000;16.55;0:12.70;1200;16.45;0:12.52
LOPE DE LARDO;15;200;17.22;0:14.68;400;18.4;0:11.45;600;17.88;0:11.46;800;16.59;0:12.44;1000;16.55;0:12.55;1200;16.58;0:12.42
TOO TOUGH;9;200;17.64;0:14.46;400;18.07;0:11.29;600;17.77;0:11.51;800;16.89;0:12.62;1000;16.66;0:12.50;1200;16.34;0:12.71
STRIKE GOLD;2;200;18.54;0:14.24;400;18.22;0:11.41;600;17.78;0:11.50;800;16.61;0:12.43;1000;16.57;0:12.62;1200;16.27;0:12.90
PUNIC WAR;17;200;17.93;0:14.67;400;18.22;0:11.31;600;17.75;0:11.59;800;16.65;0:12.53;1000;16.76;0:12.38;1200;16.32;0:12.64
DAZZLING SECRET;16;200;17.72;0:14.46;400;18.03;0:11.32;600;17.6;0:11.63;800;17.07;0:12.36;1000;17.14;0:12.46;1200;16.37;0:13.03
MILBRAE;1;200;0;0:00.00;400;0;0:00.00;600;0;0:00.00;800;0;0:00.00;1000;0;0:00.00;1200;0;0:00.00
STAR TRIP;5;200;0;0:00.00;400;0;0:00.00;600;0;0:00.00;800;0;0:00.00;1000;0;0:00.00;1200;0;0:00.00
DEEPSEEK;6;200;0;0:00.00;400;0;0:00.00;600;0;0:00.00;800;0;0:00.00;1000;0;0:00.00;1200;0;0:00.00
ARTISTIC GENIUS;10;200;0;0:00.00;400;0;0:00.00;600;0;0:00.00;800;0;0:00.00;1000;0;0:00.00;1200;0;0:00.00
MAGNARDO;12;200;0;0:00.00;400;0;0:00.00;600;0;0:00.00;800;0;0:00.00;1000;0;0:00.00;1200;0;0:00.00
RUSSIAN BENEFITS;13;200;0;0:00.00;400;0;0:00.00;600;0;0:00.00;800;0;0:00.00;1000;0;0:00.00;1200;0;0:00.00
