11/07/2026 12:00:00 AM;Caulfield-Professional-2026-07-11;Sportsbet Same Race Multi Handicap;00:01:49.404;CAUL_1700m_TRACK
First Chorus;9;100;16.57;00:00:08.940;300;17.13;00:00:11.860;500;16.43;00:00:12.800;700;15.77;00:00:13.100;900;15.73;00:00:12.960;1100;16.99;00:00:12.580;1300;17.64;00:00:12.000;1500;17.85;00:00:11.520;1700;17.53;00:00:11.870
Makdane;4;100;16.56;00:00:08.910;300;17.33;00:00:11.720;500;16.54;00:00:12.690;700;15.74;00:00:13.100;900;15.54;00:00:13.000;1100;16.83;00:00:12.560;1300;17.35;00:00:12.030;1500;17.71;00:00:11.650;1700;17.3;00:00:12.000
Beach Pad;11;100;16.17;00:00:09.290;300;17.45;00:00:11.830;500;16.33;00:00:12.740;700;15.87;00:00:12.990;900;15.77;00:00:12.950;1100;16.85;00:00:12.570;1300;17.35;00:00:11.970;1500;17.7;00:00:11.650;1700;17.51;00:00:11.960
Taka Speed;15;100;16.5;00:00:08.970;300;17.11;00:00:12.030;500;16.4;00:00:12.880;700;15.82;00:00:13.030;900;16;00:00:12.990;1100;17.23;00:00:12.570;1300;17.74;00:00:11.930;1500;18.34;00:00:11.480;1700;17.49;00:00:12.140
Snoopy Now;1;100;16.49;00:00:08.980;300;17.14;00:00:11.860;500;16.44;00:00:12.660;700;15.67;00:00:13.050;900;15.67;00:00:12.990;1100;16.87;00:00:12.490;1300;17.34;00:00:12.020;1500;17.83;00:00:11.680;1700;16.88;00:00:12.290
Wonder Kid;6;100;16.01;00:00:09.310;300;16.86;00:00:12.170;500;15.85;00:00:12.960;700;16.33;00:00:12.920;900;16.14;00:00:12.860;1100;17;00:00:12.600;1300;17.54;00:00:11.930;1500;17.97;00:00:11.630;1700;17.35;00:00:11.880
Mometz;12;100;16.32;00:00:09.590;300;17.17;00:00:11.940;500;15.93;00:00:13.000;700;16.01;00:00:12.940;900;16.25;00:00:13.020;1100;16.99;00:00:12.640;1300;17.67;00:00:11.910;1500;18.18;00:00:11.440;1700;17.27;00:00:11.890
Ruakaka Raider;14;100;15.96;00:00:09.130;300;17.01;00:00:12.140;500;16.23;00:00:12.870;700;16.01;00:00:13.050;900;16.14;00:00:13.000;1100;16.97;00:00:12.640;1300;17.68;00:00:11.920;1500;17.83;00:00:11.540;1700;16.94;00:00:12.130
Fearless Freddy;13;100;15.65;00:00:09.380;300;17.18;00:00:12.120;500;16.29;00:00:12.750;700;16.32;00:00:12.820;900;16.03;00:00:12.870;1100;16.89;00:00:12.520;1300;17.76;00:00:12.040;1500;17.66;00:00:11.840;1700;17.24;00:00:12.140
Test The Law;5;100;16.13;00:00:09.260;300;17.42;00:00:11.960;500;15.96;00:00:13.000;700;15.93;00:00:12.950;900;16.04;00:00:12.910;1100;16.91;00:00:12.570;1300;17.55;00:00:11.780;1500;17.41;00:00:11.830;1700;17.07;00:00:12.380
Station One;3;100;16.59;00:00:08.900;300;17.21;00:00:11.800;500;16.58;00:00:12.620;700;15.67;00:00:13.050;900;15.7;00:00:13.080;1100;16.71;00:00:12.470;1300;17.07;00:00:12.420;1500;17.08;00:00:12.140;1700;16.69;00:00:12.830
Yam;10;100;0;00:00:00.000;300;0;00:00:00.000;500;0;00:00:00.000;700;0;00:00:00.000;900;0;00:00:00.000;1100;0;00:00:00.000;1300;0;00:00:00.000;1500;0;00:00:00.000;1700;0;00:00:00.000
Narbold;2;100;0;00:00:00.000;300;0;00:00:00.000;500;0;00:00:00.000;700;0;00:00:00.000;900;0;00:00:00.000;1100;0;00:00:00.000;1300;0;00:00:00.000;1500;0;00:00:00.000;1700;0;00:00:00.000
Nation's Call;7;100;0;00:00:00.000;300;0;00:00:00.000;500;0;00:00:00.000;700;0;00:00:00.000;900;0;00:00:00.000;1100;0;00:00:00.000;1300;0;00:00:00.000;1500;0;00:00:00.000;1700;0;00:00:00.000
Glenfinnan;16;100;0;00:00:00.000;300;0;00:00:00.000;500;0;00:00:00.000;700;0;00:00:00.000;900;0;00:00:00.000;1100;0;00:00:00.000;1300;0;00:00:00.000;1500;0;00:00:00.000;1700;0;00:00:00.000
Indispensable;8;100;0;00:00:00.000;300;0;00:00:00.000;500;0;00:00:00.000;700;0;00:00:00.000;900;0;00:00:00.000;1100;0;00:00:00.000;1300;0;00:00:00.000;1500;0;00:00:00.000;1700;0;00:00:00.000
