2026-07-18 00:00:00;Flemington-Professional-2026-07-18;VRC Member Andrew Bostock Trophy
ALONG THE RIVER;1;200;18.59;0:13.85;400;19.41;0:10.61;600;19.1;0:10.77;800;19.25;0:10.78;1000;18.2;0:11.86
PRIMA BELLA;4;200;18.34;0:13.65;400;18.8;0:10.73;600;18.97;0:10.66;800;18.91;0:10.93;1000;17.95;0:11.89
NEXT STEP IOWA;13;200;18.7;0:14.14;400;19.14;0:10.60;600;19.34;0:10.55;800;18.94;0:10.81;1000;17.93;0:11.86
EL PIBE DE ORO;12;200;18.27;0:14.06;400;18.58;0:10.86;600;18.85;0:10.68;800;18.87;0:10.73;1000;18.04;0:11.73
PER SEMPRE;8;200;18.44;0:14.27;400;19.42;0:10.54;600;19.11;0:10.60;800;19.08;0:10.95;1000;17.92;0:11.82
NIMBUSTWOTHOUSAND;2;200;18.59;0:14.08;400;19.14;0:10.62;600;18.88;0:10.69;800;18.94;0:10.85;1000;17.77;0:11.92
STREET ARTIST;11;200;19.03;0:13.75;400;19.21;0:10.56;600;19.28;0:10.56;800;18.86;0:11.03;1000;17.2;0:12.30
CHARMED RUN;5;200;18.16;0:14.18;400;18.8;0:10.85;600;19.12;0:10.71;800;18.98;0:10.96;1000;17.81;0:11.68
HARRY GOT STYLES;3;200;18.59;0:14.05;400;19.03;0:10.76;600;19.01;0:10.61;800;19.03;0:10.89;1000;17.46;0:12.11
LANDMARK;9;200;18.69;0:14.67;400;19.39;0:10.42;600;19.42;0:10.53;800;19.45;0:10.69;1000;17.92;0:12.13
ONE HARD LADY;10;200;18.52;0:13.63;400;18.98;0:11.02;600;19.14;0:10.73;800;19.01;0:10.89;1000;17.56;0:12.23
BRING ME POWER;14;200;18.32;0:13.72;400;18.59;0:10.82;600;18.94;0:10.71;800;18.79;0:11.12;1000;17.03;0:12.43
MARTIAL MUSIC;6;200;0;0:00.00;400;0;0:00.00;600;0;0:00.00;800;0;0:00.00;1000;0;0:00.00
SHINING SMILE;7;200;0;0:00.00;400;0;0:00.00;600;0;0:00.00;800;0;0:00.00;1000;0;0:00.00
