2026-03-09 00:00:00;Morphettville-Professional-2026-03-09;Thomas Farms Manihi Classic
CELERITY;10;100;17.95;0:08.60;300;19.17;0:10.60;500;19.06;0:10.72;700;18.78;0:11.01;900;18.66;0:11.10;1100;17.58;0:12.01
MIC DROP;8;100;18.49;0:08.41;300;19.17;0:10.71;500;19.04;0:10.71;700;18.42;0:11.01;900;18.20;0:11.21;1100;17.52;0:12.13
THUNDER SHOC;7;100;17.04;0:08.91;300;18.95;0:10.85;500;19.18;0:10.70;700;19.17;0:10.85;900;18.57;0:11.05;1100;17.73;0:11.93
POWER BEAU;3;100;18.68;0:08.60;300;19.11;0:10.73;500;18.99;0:10.77;700;18.89;0:10.89;900;18.30;0:11.28;1100;17.54;0:12.06
ZOUPURRING;6;100;19.59;0:08.70;300;18.83;0:10.85;500;18.97;0:10.74;700;18.91;0:10.88;900;18.47;0:11.19;1100;17.50;0:12.23
PRAIRIE FLOWER;1;100;17.82;0:09.32;300;19.44;0:10.63;500;19.13;0:10.68;700;19.11;0:10.86;900;18.73;0:11.08;1100;17.67;0:12.12
LINGANI;4;100;17.71;0:09.10;300;19.29;0:10.57;500;19.10;0:10.69;700;18.73;0:10.89;900;18.44;0:11.28;1100;17.37;0:12.16
KARACASU;5;100;17.17;0:08.76;300;19.12;0:10.80;500;19.32;0:10.62;700;19.10;0:10.89;900;18.19;0:11.34;1100;17.27;0:12.46
MT NISEKO;9;100;17.77;0:08.59;300;19.32;0:10.77;500;19.09;0:10.73;700;19.08;0:11.02;900;18.24;0:11.31;1100;17.11;0:12.46
SAV ON ICE;2;100;17.28;0:08.79;300;19.09;0:10.75;500;18.99;0:10.72;700;18.51;0:11.06;900;17.49;0:11.77;1100;16.33;0:13.16
